Région,Type de protection,Année de protection,Commune,Appellation courante
Midi-Pyrénées (Occitanie),I,2006,Capvern,Eglise de Capvern-les-Bains
Midi-Pyrénées (Occitanie),I,1995,Lourdes,Domaine du sanctuaire de Lourdes
Ile-de-France,I,2000,Bois-Colombes,Soufflerie Hispano-Suiza
Ile-de-France,I,1975,Boulogne-Billancourt,Atelier de Dora Gordine
Ile-de-France,I,1975,Boulogne-Billancourt,Atelier Lipchitz
Ile-de-France,I,1975,Boulogne-Billancourt,Hôtel de ville
Ile-de-France,I&C,1972,Boulogne-Billancourt,Immeuble
Ile-de-France,I,1975,Boulogne-Billancourt,Maison
Ile-de-France,I,1984,Boulogne-Billancourt,Maison Collinet
Ile-de-France,I,1972,Boulogne-Billancourt,Maison Cook
Ile-de-France,I,1975,Boulogne-Billancourt,Maison cubiste du peintre Alfred Lombard
Ile-de-France,I,1975,Boulogne-Billancourt,Maison Mietschaninoff
Ile-de-France,I&C,1972,Bourg-la-Reine,Immeuble dit Villa ou Tour Hennebique
Ile-de-France,I,2004,Châtillon,Eglise Notre-Dame du Calvaire
Ile-de-France,C,2009,Clamart,Bibliothèque pour enfants
Ile-de-France,I,2003,Clamart,Hospice Ferrari
Ile-de-France,I,1976,Garches,Propriété de Nubar Bey
Ile-de-France,I,2007,Issy-les-Moulineaux,Eglise Notre-Dame des Pauvres
Ile-de-France,C,2008,Issy-les-Moulineaux,"La Tour aux Figures, de Jean Dubuffet"
Ile-de-France,I,2004,Malakoff,"Ancienne Ecole Supérieure d'Électricité, actuelle Faculté de droit de l'Université René-Descartes - Paris V"
Ile-de-France,C,1983,Meudon,Maison André-Bloc
Ile-de-France,C,1972,Meudon,Musée Rodin ou Villa les Brillants
Ile-de-France,I&C,2000,Meudon,Office National d'Etudes et de Recherches Aérospatiales (ONERA)
Ile-de-France,I,1965,Meudon,Villa Van Doesburg
Ile-de-France,I,2006,Montrouge,Eglise Saint-Jacques le Majeur
Ile-de-France,I,1984,Neuilly-sur-Seine,Ancien hôtel Lambiotte
Ile-de-France,I,1966,Neuilly-sur-Seine,Maisons Jaoul
Ile-de-France,I,2014,Sceaux,Maison Badin
Ile-de-France,I,2010,Sceaux,Maison d'André Lurçat
Ile-de-France,I,2000,Sceaux,Villa Larrey
Ile-de-France,I,2005,Sceaux,Villa Trapenard
Ile-de-France,C,2002,Suresnes,Ecole de plein air
Ile-de-France,I&C,1993,Suresnes,Lycée Paul Langevin
Ile-de-France,I,1975,Vaucresson,Villa Stein
Ile-de-France,I,1975,Ville-d'Avray,Villa Augier-Prouvost
Ile-de-France,I,1974,Ville-d'Avray,Villa Hefferlin
Languedoc-Roussillon (Occitanie),C,1996,Agde,Villa dite château Laurens
Languedoc-Roussillon (Occitanie),I&C,2001,Béziers,"Ancien centre d'apprentissage pour garçons, actuel lycée professionnel Jean Mermoz"
Languedoc-Roussillon (Occitanie),I,2008,Mauguio,Ancienne motte féodale et jardin de la Motte
Languedoc-Roussillon (Occitanie),I,2002,Montpellier,Eglise paroissiale Sainte-Thérèse-de-Lisieux ou Eglise Sainte-Thérèse-de-l'Enfant-Jésus-et-de-la-Sainte-Face
Languedoc-Roussillon (Occitanie),C,1947,Montpellier,Hôpital Général Saint-Charles et clinique Saint-Charles
Languedoc-Roussillon (Occitanie),I,2008,Sète,Anciens entrepôts Dubonnet
Bretagne,C,2012,Saint-Malo,Phare du Grand-Jardin
Centre (Centre-Val de Loire),I,2001,Châteauroux,Centre social (maison du Peuple)
Centre (Centre-Val de Loire),I,2001,Châteauroux,Chambre de Commerce et d'Industrie de l'Indre
Centre (Centre-Val de Loire),I,1991,Déols,Ancienne usine Marcel Bloch
Centre (Centre-Val de Loire),I,1977,Tours,Ancien couvent des Capucins
Centre (Centre-Val de Loire),I,1996,Tours,Bibliothèque municipale
Centre (Centre-Val de Loire),I,2000,Tours,Imprimerie Mame
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1989,Grenoble,Garage hélicoïdal
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1975,Grenoble,"Tour Perret, située dans le parc Paul-Mistral"
Rhône-Alpes (Auvergne-Rhône-Alpes),C,1994,Livet-et-Gavet,Centrale hydroélectrique des Vernes
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2007,Saint-Marcellin,"Maison dite "" le Bateau Ivre """
Rhône-Alpes (Auvergne-Rhône-Alpes),C,1992,Saint-Martin-le-Vinoux,Maison dite Casamaures
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2003,Vienne,Villa Vaganay
Franche-Comté (Bourgogne-Franche-Comté),I&C,2006,Dole,Eglise Saint-Jean l'Evangéliste
Franche-Comté (Bourgogne-Franche-Comté),I,1997,Port-Lesney,Pont bow-string de la route départementale no 48
Aquitaine (Nouvelle-Aquitaine),I,2007,Amou,Arènes Jean Lafittau
Aquitaine (Nouvelle-Aquitaine),I,2007,Bascons,Arènes Jean de Lahourtique
Aquitaine (Nouvelle-Aquitaine),I,2000,Dax,Atrium Casino
Aquitaine (Nouvelle-Aquitaine),I,1991,Dax,"Hôtel Splendid, actuellement Grand Hôtel Mercure Splendid"
Aquitaine (Nouvelle-Aquitaine),I,2007,Mont-de-Marsan,Eglise Saint-Vincent de Paul
Aquitaine (Nouvelle-Aquitaine),I,2007,Saint-Martin-de-Seignanx,Villa Saint-Jean
Aquitaine (Nouvelle-Aquitaine),I,1991,Soorts-Hossegor,Sporting-Casino
Centre (Centre-Val de Loire),C,1996,Blois,Basilique Notre-Dame de la Trinité
Centre (Centre-Val de Loire),I,1997,Blois,Chocolaterie Poulain
Centre (Centre-Val de Loire),I,2002,Romorantin-Lanthenay,"Usine Normant, actuellement usine Matra Automobile"
Centre (Centre-Val de Loire),I,1980,Salbris,Propriété dite La Saulot
Rhône-Alpes (Auvergne-Rhône-Alpes),C,2012,Firminy,Eglise Saint-Pierre de Firminy
Rhône-Alpes (Auvergne-Rhône-Alpes),C,1984,Firminy,Maison de la Culture Le Corbusier
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2005,Firminy,Piscine municipale
Rhône-Alpes (Auvergne-Rhône-Alpes),C,1984,Firminy,Stade Le Corbusier
Rhône-Alpes (Auvergne-Rhône-Alpes),C,1993,Firminy,Unité d'habitation construite par Le Corbusier
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2003,Ricamarie (La),Puits des Combes
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2008,Saint-Etienne,Eglise Saint-François-Régis
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2002,Saint-Etienne,Hôpital de la Charité
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1989,Saint-Etienne,Hôtel Subit-Gouyon
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1994,Saint-Etienne,Immeuble
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2003,Saint-Etienne,Immeuble moderne d'Auguste Bossu
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1989,Saint-Etienne,"Immeuble, dit Chalet de Bizillon"
Pays de la Loire,I,2010,Nantes,Ensemble paroissial Sainte-Thérèse
Pays de la Loire,I,2002,Pornichet,Villa Ker Souveraine dite aussi villa Rose ou villa des Sirènes
Pays de la Loire,C,2001,Rezé,Maison radieuse
Pays de la Loire,I,1998,Varades,Château de la Madeleine dit Palais Briau
Centre (Centre-Val de Loire),I,2006,Orléans,Parc floral de la Source
Aquitaine (Nouvelle-Aquitaine),I,1986,Agen,Ancien théâtre Ducourneau
Aquitaine (Nouvelle-Aquitaine),I,2000,Agen,Eglise du Sacré-Coeur
Aquitaine (Nouvelle-Aquitaine),I,2001,Passage (Le),Eglise Sainte-Jehanne de France
Pays de la Loire,I,2004,Angers,Bâtiment de la Compagnie française d'Aviation
Pays de la Loire,I,1998,Angers,Maison Bleue
Pays de la Loire,I,2004,Angers,Maison-clairière
Pays de la Loire,C,1991,Cholet,Eglise du Sacré-Coeur
Pays de la Loire,C,2013,Montreuil-Bellay,Ancien camp d'internement de tsiganes
Pays de la Loire,I,1991,Rou-Marson,Château de Marson
Basse-Normandie (Normandie),I,2001,Cherbourg,Ancien Hôtel Atlantique
Basse-Normandie (Normandie),I,1989,Cherbourg,Ancienne gare maritime
Basse-Normandie (Normandie),C,1995,Cherbourg,Batterie d'artillerie du Roule
Basse-Normandie (Normandie),I,2010,Coutances,Halle aux poissons
Basse-Normandie (Normandie),C,2003,Ecausseville,Hangar à dirigeables
Basse-Normandie (Normandie),C,1995,Equeurdreville-Hainneville,Rampe de lancement de V1 de Brécourt
Basse-Normandie (Normandie),I,2009,Fermanville,Phare du Cap Lévi
Basse-Normandie (Normandie),I,2005,Graignes,Eglise
Basse-Normandie (Normandie),I,1994,Granville,Batterie d'artillerie du Roc
Basse-Normandie (Normandie),I,1992,Granville,Casino de Granville
Basse-Normandie (Normandie),I,2012,Jullouville,Colonie de vacances de la ville de Saint-Ouen
Basse-Normandie (Normandie),I,2006,Picauville,Chapelle du Bon Sauveur (également sur commune d'Etienville)
Basse-Normandie (Normandie),I,2005,Saint-Jean-des-Baisants,Eglise
Basse-Normandie (Normandie),C,2008,Saint-Lô,Hôpital - mémorial France - Etats-Unis
Basse-Normandie (Normandie),C,1920,Valognes,Eglise Saint-Malo
Champagne-Ardenne (Grand-Est),I,1990,Epernay,"Bâtiments de la Société ""Champagne de Castellane"""
Champagne-Ardenne (Grand-Est),I,1991,Mondement-Montgivroux,Monument commémoratif de la Première Victoire de la Marne
Champagne-Ardenne (Grand-Est),I,1983,Reims,Bibliothèque Carnégie
Champagne-Ardenne (Grand-Est),I,1981,Reims,Cinéma-opéra
Champagne-Ardenne (Grand-Est),C,2002,Reims,Eglise Saint-Nicaise
Champagne-Ardenne (Grand-Est),C,1990,Reims,Halles centrales
Champagne-Ardenne (Grand-Est),C,1953,Reims,Hôtel des postes
Champagne-Ardenne (Grand-Est),I,2001,Reims,Piscine du Tennis-Club
Champagne-Ardenne (Grand-Est),I,1992,Reims,"Villa ""Douce"""
Champagne-Ardenne (Grand-Est),I,1989,Saint-Hilaire-le-Grand,Chapelle orthodoxe russe
Champagne-Ardenne (Grand-Est),C,1922,Verzy,"abris de blockhaus à mitraillettes, à 10 m de la gare"
Martinique,I,1992,Ducos,demeure dite Château Aubéry
Martinique,I,2012,Fonds-Saint-Denis,Observatoire du Morne des Cadets
Martinique,I,2009,Fort-de-France,Eglise Notre-Dame du Rosaire
Martinique,I,2011,Fort-de-France,Eglise Sainte-Thérèse
Martinique,I,2010,Fort-de-France,"Immeuble, boulangerie SURENA"
Martinique,I,2010,Fort-de-France,Lycée Schoelcher
Martinique,I,1992,Fort-de-France,Maison
Martinique,C,2014,Fort-de-France,Maison d'Aimé Césaire
Martinique,I,2015,Fort-de-France,Maison Didier
Martinique,I,1990,Fort-de-France,Préfecture
Martinique,I,2004,Fort-de-France,Villa Louisiane
Martinique,I,2010,Fort-de-France,Villa Monplaisir
Martinique,I,2012,Prêcheur (Le),Eglise Saint-Joseph
Martinique,I,2013,Prêcheur (Le),"Phare du Prêcheur, situé quartier Abymes"
Martinique,I,1995,Saint-Esprit,Eglise du Saint-Esprit
Martinique,I,1995,Saint-Pierre,"Ancienne cathédrale Notre-Dame-de-l'Assomption, actuellement église du Mouillage"
Pays de la Loire,I,2014,Laval,Bâtiment des bains-douches
Lorraine (Grand-Est),C,2013,Baccarat,Eglise Saint-Rémy
Lorraine (Grand-Est),I,1993,Briey,Cité Radieuse
Lorraine (Grand-Est),I,1999,Doncourt-lès-Conflans,Bâtiment de l'Aéroclub
Lorraine (Grand-Est),C,1922,Hablainville,Observatoire
Lorraine (Grand-Est),I,2012,Laneuveville-devant-Nancy,Papeterie de la Rochette
Lorraine (Grand-Est),I,2001,Lunéville,Eglise Sainte-Jeanne-d'Arc
Lorraine (Grand-Est),C,1922,Manonviller,Poste de secours dit de Manonvillers£
Lorraine (Grand-Est),I,2003,Nancy,Ancien siège de la société des Hauts-Fourneaux et Fonderies de Pont-à-Mousson
Lorraine (Grand-Est),C,1996,Nancy,Immeuble
Lorraine (Grand-Est),C,1998,Nancy,Immeuble France-Lanord
Lorraine (Grand-Est),I,1994,Nancy,"Immeuble, ancienne imprimerie Royer"
Lorraine (Grand-Est),C,1923,Nancy,Opéra - théâtre
Lorraine (Grand-Est),I,2012,Vandoeuvre-lès-Nancy,Eglise Saint-François-d'Assise
Lorraine (Grand-Est),C,1998,Beaulieu-en-Argonne,"Ermitage de Saint-Rouin, puis chapelle de pèlerinage"
Lorraine (Grand-Est),C,1922,Douaumont,Monument dit Tranchée des Baïonnettes
Lorraine (Grand-Est),C,1996,Fleury-devant-Douaumont,Ossuaire de Douaumont
Lorraine (Grand-Est),C,1931,Moirey-Flabas-Crépion,Poste de commandement du colonel Driant
Lorraine (Grand-Est),C,1937,Montfaucon-d'Argonne,Terrains de zone rouge
Lorraine (Grand-Est),C,1922,Varennes-en-Argonne,Abris dits du Prince Ruprecht de Bavière
Lorraine (Grand-Est),C,1937,Vauquois,Terrains de zone rouge sur la butte
Bretagne,I,2000,Bangor,Ancienne station radar de Port-Coton
Lorraine (Grand-Est),I,1995,Aumetz,Ancienne mine de fer Bassompierre
Lorraine (Grand-Est),I,1999,Ban-Saint-Martin (Le),Villa
Lorraine (Grand-Est),I,1994,Boust,Eglise Saint-Maximin
Lorraine (Grand-Est),I,1992,Freyming-Merlebach,Carreau Cuvelette
Lorraine (Grand-Est),C,1998,Metz,Eglise Sainte-Thérèse-de-l'Enfant-Jésus
Lorraine (Grand-Est),I,1970,Metz,Fort de Queuleu
Lorraine (Grand-Est),I,1975,Metz,Gare
Lorraine (Grand-Est),I,1992,Saint-Avold,Carreau de Sainte-Fontaine
Bourgogne (Bourgogne-Franche-Comté),I,2014,Clamecy,"Ancienne usine de la Société des produits chimiques de Clamecy, usine Rhodia, actuelle usine Solvay"
Bourgogne (Bourgogne-Franche-Comté),I,2000,Clamecy,Eglise Notre-Dame de Bethléem
Bourgogne (Bourgogne-Franche-Comté),I,1999,Cosne-Cours-sur-Loire,Cinéma Eden
Bourgogne (Bourgogne-Franche-Comté),I,2000,Nevers,Eglise Sainte-Bernadette du Banlay
Nord-Pas-de-Calais (Hauts-De-France),I,2001,Avelin,Maison d'habitation dite maison Sterckeman
Nord-Pas-de-Calais (Hauts-De-France),I,2001,Caudry,Maison d'industriel dite maison Dumont
Nord-Pas-de-Calais (Hauts-De-France),C,2002,Comines,Eglise Saint-Chrysole
Nord-Pas-de-Calais (Hauts-De-France),I,2000,Croix,"Maison d'habitation, maison Delcourt"
Nord-Pas-de-Calais (Hauts-De-France),C,1990,Croix,Villa Cavrois
Nord-Pas-de-Calais (Hauts-De-France),I,2001,Douai,Ancienne filature dite Les Textiles de Douai
Nord-Pas-de-Calais (Hauts-De-France),I,2010,Dunkerque,Bâtiment de la Subdivision des Phares et Balises
Nord-Pas-de-Calais (Hauts-De-France),I,1999,Dunkerque,"Feu Saint-Pol, situé jetée de Saint-Pol"
Nord-Pas-de-Calais (Hauts-De-France),I,1988,Dunkerque,Maison
Nord-Pas-de-Calais (Hauts-De-France),I,1988,Dunkerque,Maison
Nord-Pas-de-Calais (Hauts-De-France),I,1988,Dunkerque,Maison
Nord-Pas-de-Calais (Hauts-De-France),I,1988,Dunkerque,Maison dite Les Cicognes
Nord-Pas-de-Calais (Hauts-De-France),I,1988,Dunkerque,Maison dite Les Cubes
Nord-Pas-de-Calais (Hauts-De-France),I,1988,Dunkerque,Maison dite Ma Coquille
Nord-Pas-de-Calais (Hauts-De-France),I,1988,Dunkerque,Propriété (vestiges de L'excentric Moulins)
Nord-Pas-de-Calais (Hauts-De-France),I,1988,Dunkerque,Villa Moscovite ou Castel Joly
Nord-Pas-de-Calais (Hauts-De-France),C,1922,Frelinghien,Observatoire militaire 1914-1918
Nord-Pas-de-Calais (Hauts-De-France),I,2010,Gravelines,Phare de Petit-Fort-Philippe
Nord-Pas-de-Calais (Hauts-De-France),I,2005,Hautmont,Chapelle Saint-Eloi
Nord-Pas-de-Calais (Hauts-De-France),I,1995,Hem,Chapelle Sainte-Thérèse-de-l'Enfant-Jésus et de la Sainte-Face
Nord-Pas-de-Calais (Hauts-De-France),I,2000,Lambersart,Maison d'habitation Art-Déco
Nord-Pas-de-Calais (Hauts-De-France),I,2001,Lambersart,Maison d'habitation Sdez
Nord-Pas-de-Calais (Hauts-De-France),I,1999,Leval,poste d'aiguillage : tour florentine
Nord-Pas-de-Calais (Hauts-De-France),I,2002,Lille,Couvent des Dominicains
Nord-Pas-de-Calais (Hauts-De-France),C,2002,Lille,Hôtel de ville
Nord-Pas-de-Calais (Hauts-De-France),I,1997,Lille,Jardin des Plantes
Nord-Pas-de-Calais (Hauts-De-France),I,1997,Lille,"Lycée Baggio, anciennement dénommé Institut Diderot"
Nord-Pas-de-Calais (Hauts-De-France),I,2001,Lille,Observatoire de l'Institut de mathématiques appliquées et d'astronomie
Nord-Pas-de-Calais (Hauts-De-France),I,1999,Lille,Opéra de Lille
Nord-Pas-de-Calais (Hauts-De-France),I,2000,Lille,"Salle des fêtes, à Lille-Fives"
Nord-Pas-de-Calais (Hauts-De-France),I,1999,Lille,Usine élévatoire de Saint-André
Nord-Pas-de-Calais (Hauts-De-France),I,2001,Marquette-lez-Lille,Grands Moulins de Paris
Nord-Pas-de-Calais (Hauts-De-France),I,2002,Maubeuge,Eglise Saint-Pierre-Saint-Paul
Nord-Pas-de-Calais (Hauts-De-France),I,1998,Roubaix,Maison de Pierre Neveux
Nord-Pas-de-Calais (Hauts-De-France),I,2002,Saint-Saulve,Carmel de Valenciennes
Nord-Pas-de-Calais (Hauts-De-France),I&C,2001,Sebourg,"Maison Verley, dit maison-plante, maison bouteille ou maison fleur"
Nord-Pas-de-Calais (Hauts-De-France),I,1995,Tourcoing,Deux pavillons de type Metropole de Jean Prouvé
Nord-Pas-de-Calais (Hauts-De-France),I,2001,Tourcoing,Maison d'habitation Vendeveegaete
Nord-Pas-de-Calais (Hauts-De-France),I,1992,Valenciennes,Ancienne fosse Dutemple
Nord-Pas-de-Calais (Hauts-De-France),I,2001,Valenciennes,Hôtel de ville
Nord-Pas-de-Calais (Hauts-De-France),I,2003,Vieux-Condé,Chapelle de la Solitude
Nord-Pas-de-Calais (Hauts-De-France),I,2001,Villeneuve-d'Ascq,Ancien carmel
Nord-Pas-de-Calais (Hauts-De-France),I,2000,Villeneuve-d'Ascq,Musée d'Art moderne
Nord-Pas-de-Calais (Hauts-De-France),C,2010,Wallers,Ancien site minier de Wallers-Arenberg
Nord-Pas-de-Calais (Hauts-De-France),I,2000,Wambrechies,Ancienne filature de lin La Linière de Wambrechies
Nord-Pas-de-Calais (Hauts-De-France),I,2005,Wattrelos,Eglise Sainte-Thérèse de l'Enfant-Jésus
Nord-Pas-de-Calais (Hauts-De-France),C,2010,Waziers,Eglise Notre-Dame des Mineurs
Picardie (Hauts-De-France),I,2014,Boran-sur-Oise,"Piscine fluviale dit "" Plage du Lys """
Picardie (Hauts-De-France),I,2002,Cramoisy,Ancienne usine dite Parvillée
Picardie (Hauts-De-France),I,1999,Nampcel,Abri du Kronprinz
Basse-Normandie (Normandie),C,1993,Domfront,Eglise Saint-Julien
Basse-Normandie (Normandie),C,2006,Flers,Chapelle de l'ancien petit séminaire dite Chapelle du Souvenir
Ile-de-France,I,1981,Paris 10e Arrondissement,Cinéma l'Eldorado
Ile-de-France,I,1981,Paris 10e Arrondissement,Cinéma Le Louxor
Ile-de-France,I,1994,Paris 10e Arrondissement,Palais du Commerce
Ile-de-France,I,2003,Paris 11e Arrondissement,Palais de la Femme
Ile-de-France,I&C,1987,Paris 12e Arrondissement,"Ancien Musée National des Arts Africains et Océaniens, devenu Cité nationale de l'histoire de l'Immigration"
Ile-de-France,I,1979,Paris 12e Arrondissement,Eglise du Saint-Esprit
Ile-de-France,I,1975,Paris 13e Arrondissement,Cité-refuge de l'Armée du Salut
Ile-de-France,I,1997,Paris 13e Arrondissement,Groupe scolaire
Ile-de-France,I,2012,Paris 13e Arrondissement,Halle des messageries de la Gare d'Austerlitz
Ile-de-France,I,1976,Paris 13e Arrondissement,Maison Planeix
Ile-de-France,C,1965,Paris 13e Arrondissement,Mobilier National
Ile-de-France,I,1990,Paris 13e Arrondissement,Piscine de la Butte aux Cailles
Ile-de-France,I,1994,Paris 13e Arrondissement,Tour Albert
Ile-de-France,C,1996,Paris 14e Arrondissement,"Cité du Souvenir, chapelle Saint-Yves"
Ile-de-France,C,1986,Paris 14e Arrondissement,Cité internationale Universitaire : pavillon de la Suisse
Ile-de-France,I,1985,Paris 14e Arrondissement,Cité internationale Universitaire : pavillon du Brésil ou pavillon brésilien ou maison du Brésil
Ile-de-France,C,2005,Paris 14e Arrondissement,Cité internationale universitaire : pavillon ou collège néerlandais (fondation Juliana)
Ile-de-France,I,1984,Paris 14e Arrondissement,Deux immeubles
Ile-de-France,I,1986,Paris 14e Arrondissement,Immeuble
Ile-de-France,I,1986,Paris 14e Arrondissement,Immeuble
Ile-de-France,I,2013,Paris 14e Arrondissement,Immeuble
Ile-de-France,I,2001,Paris 14e Arrondissement,Immeuble
Ile-de-France,I,2001,Paris 14e Arrondissement,"Immeuble ""Studio Hôtel"""
Ile-de-France,I,1986,Paris 14e Arrondissement,Immeuble Studio Raspail
Ile-de-France,I,1984,Paris 14e Arrondissement,Maison construite par François Lecoeur
Ile-de-France,I,1975,Paris 14e Arrondissement,Maison Guggenbuhl
Ile-de-France,I,1975,Paris 14e Arrondissement,Maison Ozenfant
Ile-de-France,I,1975,Paris 14e Arrondissement,Villa Seurat
Ile-de-France,I,1975,Paris 15e Arrondissement,Eglise Saint-Christophe-de-Javel
Ile-de-France,I,1993,Paris 15e Arrondissement,Immeuble
Ile-de-France,I,1986,Paris 15e Arrondissement,Immeuble
Ile-de-France,I,1986,Paris 15e Arrondissement,Immeuble
Ile-de-France,I,1965,Paris 15e Arrondissement,Laboratoire de la Marine
Ile-de-France,I,1995,Paris 15e Arrondissement,Lycée Camille Sée
Ile-de-France,C,1990,Paris 16e Arrondissement,Ancienne maison-atelier des sculpteurs Martel
Ile-de-France,I,1986,Paris 16e arrondissement,Caserne des pompiers
Ile-de-France,I,1966,Paris 16e arrondissement,Hôtel Guadet
Ile-de-France,I,1986,Paris 16e Arrondissement,Immeuble
Ile-de-France,I,1966,Paris 16e Arrondissement,Immeuble
Ile-de-France,I,1975,Paris 16e Arrondissement,Immeuble
Ile-de-France,I,1995,Paris 16e Arrondissement,Immeuble
Ile-de-France,C,1996,Paris 16e Arrondissement,Immeuble
Ile-de-France,I,1986,Paris 16e arrondissement,Immeuble Les Chardons
Ile-de-France,I,2006,Paris 16e Arrondissement,Immeubles dits Immeubles Walter
Ile-de-France,I,2000,Paris 16e arrondissement,Immeubles formant la rue Mallet-Stevens
Ile-de-France,C,1993,Paris 16e Arrondissement,"Palais d'Iéna, ancien Musée des Travaux Publics, actuel Conseil économique et social"
Ile-de-France,C,1980,Paris 16e Arrondissement,Palais de Chaillot
Ile-de-France,I,1990,Paris 16e Arrondissement,Piscine Molitor
Ile-de-France,C,1996,Paris 16e Arrondissement,"Villa Jeanneret-Raaf, actuellement Fondation Le Corbusier"
Ile-de-France,C,1996,Paris 16e Arrondissement,"Villa La Roche, actuellement Fondation Le Corbusier"
Ile-de-France,I&C,1987,Paris 17e Arrondissement,Ecole normale de musique Alfred Cortot
Ile-de-France,I,2001,Paris 17e Arrondissement,Eglise Sainte-Odile
Ile-de-France,I,1966,Paris 18e Arrondissement,Eglise Saint-Jean-de-Montmartre
Ile-de-France,I,1986,Paris 18e Arrondissement,Immeuble
