"Région","Département","Commune","Référence"
"Grand-Est","Bas-rhin","Hunspach","PA00085308"
"Grand-Est","Bas-rhin","Hunspach ; Ingolsheim","PA00085309"
"Grand-Est","Haut-rhin","Lapoutroie","PA00085502"
"Grand-Est","Haut-rhin","Mulhouse","PA00085759"
"Grand-Est","Haut-rhin","Mulhouse","PA68000047"
"Grand-Est","Haut-rhin","Neuf-Brisach","PA00085565"
"Grand-Est","Bas-rhin","Rhinau","PA67000084"
"Grand-Est","Bas-rhin","Seltz","PA67000069"
"Grand-Est","Bas-rhin","Strasbourg","PA00085313"
"Grand-Est","Bas-rhin","Strasbourg","PA67000045"
"Grand-Est","Bas-rhin","Strasbourg","PA67000046"
"Grand-Est","Bas-rhin","Strasbourg","PA67000064"
"Grand-Est","Bas-rhin","Strasbourg","PA67000073"
"Grand-Est","Bas-rhin","Strasbourg","PA00085196"
"Nouvelle-Aquitaine","Lot-et-garonne","Agen","PA00084055"
"Nouvelle-Aquitaine","Lot-et-garonne","Agen","PA47000042"
"Nouvelle-Aquitaine","Landes","Amou","PA40000062"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Arcangues","PA64000001"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Ascain","PA64000037"
"Nouvelle-Aquitaine","Landes","Bascons","PA40000063"
"Nouvelle-Aquitaine","Gironde","Bègles","PA00083900"
"Nouvelle-Aquitaine","Dordogne","Bergerac","PA24000065"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Biarritz","PA00084559"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Biarritz","PA00125254"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Biarritz","PA00084543"
"Nouvelle-Aquitaine","Gironde","Bordeaux","PA00083158"
"Nouvelle-Aquitaine","Gironde","Bordeaux","PA33000174"
"Nouvelle-Aquitaine","Gironde","Bordeaux","PA33000175"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Ciboure","PA00125258"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Ciboure","PA00084577"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Ciboure","PA00084560"
"Nouvelle-Aquitaine","Landes","Dax","PA00083937"
"Nouvelle-Aquitaine","Landes","Dax","PA00084027"
"Nouvelle-Aquitaine","Gironde","Floirac","PA33000068"
"Nouvelle-Aquitaine","Gironde","Langoiran","PA33000065"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083876"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083877"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083878"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083879"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083881"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083882"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083880"
"Nouvelle-Aquitaine","Gironde","Lormont","PA33000036"
"Nouvelle-Aquitaine","Landes","Mont-de-Marsan","PA40000065"
"Nouvelle-Aquitaine","Lot-et-garonne","Passage (Le)","PA47000050"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Pau","PA64000038"
"Nouvelle-Aquitaine","Gironde","Pessac","PA00083657"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000118"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000121"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000140"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000120"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000117"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000119"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000122"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000144"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000154"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000153"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000151"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000191"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000189"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000141"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000142"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000143"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000116"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000048"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000115"
"Nouvelle-Aquitaine","Gironde","Pessac","PA33000145"
"Nouvelle-Aquitaine","Gironde","Podensac","PA33000088"
"Nouvelle-Aquitaine","Dordogne","Ribérac","PA24000026"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Saint-Jean-de-Luz","PA00125263"
"Nouvelle-Aquitaine","Landes","Saint-Martin-de-Seignanx","PA40000066"
"Nouvelle-Aquitaine","Gironde","Saint-Symphorien","PA33000097"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Salies-de-Béarn","PA00135197"
"Nouvelle-Aquitaine","Landes","Soorts-Hossegor","PA00084028"
"Nouvelle-Aquitaine","Gironde","Teste-de-Buch (La)","PA33000146"
"Nouvelle-Aquitaine","Gironde","Teste-de-Buch (La)","PA33000051"
"Auvergne-Rhône-Alpes","Cantal","Aurillac","PA15000030"
"Auvergne-Rhône-Alpes","Puy-de-dome","Chamalières","PA63000032"
"Auvergne-Rhône-Alpes","Puy-de-dome","Clermont-Ferrand","PA63000030"
"Auvergne-Rhône-Alpes","Puy-de-dome","Clermont-Ferrand","PA63000081"
"Auvergne-Rhône-Alpes","Puy-de-dome","Clermont-Ferrand","PA63000067"
"Auvergne-Rhône-Alpes","Puy-de-dome","Clermont-Ferrand","PA63000095"
"Auvergne-Rhône-Alpes","Puy-de-dome","Clermont-Ferrand","PA63000040"
"Auvergne-Rhône-Alpes","Haute-loire","Puy-en-Velay (Le)","PA43000025"
"Auvergne-Rhône-Alpes","Allier","Vichy","PA00093413"
"Auvergne-Rhône-Alpes","Allier","Vichy","PA00093403"
"Auvergne-Rhône-Alpes","Allier","Vichy","PA00093408"
"Auvergne-Rhône-Alpes","Allier","Vichy","PA03000008"
"Normandie","Calvados","Arromanches-les-Bains","PA14000009"
"Normandie","Calvados","Asnelles","PA00111837"
"Normandie","Calvados","Caen","PA14000032"
"Normandie","Calvados","Caen","PA14000085"
"Normandie","Calvados","Caen","PA14000051"
"Normandie","Calvados","Caen","PA14000061"
"Normandie","Calvados","Caen","PA14000055"
"Normandie","Calvados","Caen","PA14000087"
"Normandie","Calvados","Caen","PA14000102"
"Normandie","Calvados","Cahagnes","PA14000088"
"Normandie","Manche","Cherbourg","PA50000019"
"Normandie","Manche","Cherbourg","PA00110648"
"Normandie","Manche","Cherbourg","PA00135507"
"Normandie","Manche","Coutances","PA50000071"
"Normandie","Calvados","Deauville","PA14000090"
"Normandie","Calvados","Dives-sur-Mer","PA00111835"
"Normandie","Orne","Domfront","PA00125312"
"Normandie","Manche","Ecausseville","PA50000012"
"Normandie","Manche","Equeurdreville-Hainneville","PA00135509"
"Normandie","Calvados","Falaise","PA14000091"
"Normandie","Calvados","Falaise","PA14000092"
"Normandie","Manche","Fermanville","PA50000064"
"Normandie","Orne","Flers","PA61000042"
"Normandie","Calvados","Fontaine-le-Pin","PA14000050"
"Normandie","Calvados","Glanville","PA00111839"
"Normandie","Manche","Graignes","PA50000032"
"Normandie","Manche","Granville","PA00132897"
"Normandie","Manche","Granville","PA00110661"
"Normandie","Manche","Jullouville","PA50000082"
"Normandie","Calvados","Lisieux","PA14000094"
"Normandie","Calvados","Lisieux","PA14000060"
"Normandie","Calvados","Longues-sur-Mer","PA00132892"
"Normandie","Calvados","May-sur-Orne","PA14000095"
"Normandie","Calvados","Merville-Franceville-Plage","PA14000026"
"Normandie","Calvados","Mézidon-Canon","PA14000096"
"Normandie","Calvados","Ouistreham","PA00132894"
"Normandie","Manche","Picauville","PA50000043"
"Normandie","Manche","Saint-Jean-des-Baisants","PA50000038"
"Normandie","Manche","Saint-Lô","PA50000056"
"Normandie","Calvados","Trouville-sur-Mer","PA00111841"
"Normandie","Manche","Valognes","PA00110627"
"Normandie","Calvados","Vire","PA14000099"
"Bourgogne-Franche-Comté","Yonne","Auxerre","PA89000050"
"Bourgogne-Franche-Comté","Cote-d'or","Beaune","PA21000025"
"Bourgogne-Franche-Comté","Saone-et-loire","Chalon-sur-Saône","PA00132968"
"Bourgogne-Franche-Comté","Saone-et-loire","Chalon-sur-Saône","PA71000064"
"Bourgogne-Franche-Comté","Saone-et-loire","Chalon-sur-Saône","PA71000058"
"Bourgogne-Franche-Comté","Nievre","Clamecy","PA58000042"
"Bourgogne-Franche-Comté","Nievre","Clamecy","PA58000015"
"Bourgogne-Franche-Comté","Cote-d'or","Corpeau","PA21000070"
"Bourgogne-Franche-Comté","Nievre","Cosne-Cours-sur-Loire","PA58000013"
"Bourgogne-Franche-Comté","Cote-d'or","Dijon","PA21000062"
"Bourgogne-Franche-Comté","Cote-d'or","Dijon","PA00112260"
"Bourgogne-Franche-Comté","Cote-d'or","Dijon","PA21000042"
"Bourgogne-Franche-Comté","Cote-d'or","Dijon","PA21000072"
"Bourgogne-Franche-Comté","Cote-d'or","Dijon","PA21000073"
"Bourgogne-Franche-Comté","Cote-d'or","Dijon","PA00112338"
"Bourgogne-Franche-Comté","Cote-d'or","Dijon","PA21000049"
"Bourgogne-Franche-Comté","Saone-et-loire","Louhans","PA71000011"
"Bourgogne-Franche-Comté","Saone-et-loire","Mazille","PA71000065"
"Bourgogne-Franche-Comté","Saone-et-loire","Montceau-les-Mines","PA71000013"
"Bourgogne-Franche-Comté","Nievre","Nevers","PA58000016"
"Bourgogne-Franche-Comté","Yonne","Saint-Julien-du-Sault","PA89000055"
"Bourgogne-Franche-Comté","Saone-et-loire","Saint-Vallier","PA71000016"
"Bourgogne-Franche-Comté","Yonne","Sens","PA89000047"
"Bourgogne-Franche-Comté","Yonne","Sens","PA89000056"
"Bourgogne-Franche-Comté","Yonne","Sermizelles","PA89000049"
"Bretagne","Morbihan","Bangor","PA56000026"
"Bretagne","Finistere","Bénodet","PA29000010"
"Bretagne","Finistere","Brest","PA29000011"
"Bretagne","Finistere","Brest","PA00135262"
"Bretagne","Cotes-d'armor","Dinan","PA00135252"
"Bretagne","Cotes-d'armor","Etables-sur-Mer","PA00089146"
"Bretagne","Cotes-d'armor","Fréhel","PA00135253"
"Bretagne","Cotes-d'armor","Lannion","PA00135254"
"Bretagne","Finistere","Locquénolé","PA00135266"
"Bretagne","Cotes-d'armor","Pléneuf-Val-André","PA00135255"
"Bretagne","Finistere","Ploumoguer","PA29000008"
"Bretagne","Finistere","Quimper","PA29000053"
"Bretagne","Cotes-d'armor","Saint-Brieuc","PA00135257"
"Bretagne","Ille-et-vilaine","Saint-Malo","PA35000043"
"Bretagne","Cotes-d'armor","Saint-Quay-Portrieux","PA00135258"
"Centre-Val de Loire","Loir-et-cher","Blois","PA00132568"
"Centre-Val de Loire","Loir-et-cher","Blois","PA41000001"
"Centre-Val de Loire","Cher","Bourges","PA18000033"
"Centre-Val de Loire","Cher","Bourges","PA18000032"
"Centre-Val de Loire","Cher","Bourges","PA00132557"
"Centre-Val de Loire","Cher","Bourges","PA18000031"
"Centre-Val de Loire","Cher","Bourges","PA18000017"
"Centre-Val de Loire","Cher","Bourges","PA18000018"
"Centre-Val de Loire","Cher","Bourges","PA18000029"
"Centre-Val de Loire","Eure-et-loir","Chartres","PA28000010"
"Centre-Val de Loire","Eure-et-loir","Chartres","PA00132560"
"Centre-Val de Loire","Indre","Châteauroux","PA36000009"
"Centre-Val de Loire","Indre","Châteauroux","PA36000008"
"Centre-Val de Loire","Eure-et-loir","Coudray (Le)","PA00135288"
"Centre-Val de Loire","Indre","Déols","PA00097493"
"Centre-Val de Loire","Eure-et-loir","Lèves","PA28000012"
"Centre-Val de Loire","Cher","Neuvy-sur-Barangeon","PA18000043"
"Centre-Val de Loire","Loiret","Orléans","PA45000028"
"Centre-Val de Loire","Loir-et-cher","Romorantin-Lanthenay","PA41000026"
"Centre-Val de Loire","Loir-et-cher","Salbris","PA00098589"
"Centre-Val de Loire","Eure-et-loir","Senonches","PA28000015"
"Centre-Val de Loire","Indre-et-loire","Tours","PA00098143"
"Centre-Val de Loire","Indre-et-loire","Tours","PA37000002"
"Centre-Val de Loire","Indre-et-loire","Tours","PA37000009"
"Grand-Est","Ardennes","Charleville-Mézières","PA08000014"
"Grand-Est","Ardennes","Charleville-Mézières","PA08000001"
"Grand-Est","Marne","Epernay","PA00078918"
"Grand-Est","Ardennes","Ferté-sur-Chiers (La)","PA00078437"
"Grand-Est","Aube","Fontaine-les-Grès","PA10000027"
"Grand-Est","Marne","Mondement-Montgivroux","PA00078924"
"Grand-Est","Marne","Reims","PA00078775"
"Grand-Est","Marne","Reims","PA00078778"
"Grand-Est","Marne","Reims","PA00078784"
"Grand-Est","Marne","Reims","PA00078789"
"Grand-Est","Marne","Reims","PA00078794"
"Grand-Est","Marne","Reims","PA51000007"
"Grand-Est","Marne","Reims","PA00078929"
"Grand-Est","Marne","Saint-Hilaire-le-Grand","PA00078921"
"Grand-Est","Aube","Sainte-Savine","PA10000024"
"Grand-Est","Ardennes","Semide","PA00078525"
"Grand-Est","Marne","Verzy","PA00078890"
"Grand-Est","Ardennes","Villy","PA00078542"
"Corse","Corse-du-sud","Ajaccio","PA00099142"
"Corse","Haute-corse","Bastia","PA2B000013"
"Corse","Corse-du-sud","Piana","PA00099139"
"Bourgogne-Franche-Comté","Doubs","Audincourt","PA25000065"
"Bourgogne-Franche-Comté","Doubs","Audincourt","PA00101443"
"Bourgogne-Franche-Comté","Territoire De Belfort","Belfort","PA90000004"
"Bourgogne-Franche-Comté","Doubs","Besançon","PA00101613"
"Bourgogne-Franche-Comté","Haute-saone","Demangevelle","PA70000063"
"Bourgogne-Franche-Comté","Jura","Dole","PA39000073"
"Bourgogne-Franche-Comté","Haute-saone","Gray","PA00132862"
"Bourgogne-Franche-Comté","Territoire De Belfort","Meroux","PA00135352"
"Bourgogne-Franche-Comté","Jura","Port-Lesney","PA39000027"
"Bourgogne-Franche-Comté","Haute-saone","Ronchamp","PA00102263"
"Bourgogne-Franche-Comté","Haute-saone","Ronchamp","PA70000053"
"Guadeloupe","Guadeloupe","Abymes (Les)","PA97100025"
"Guadeloupe","Guadeloupe","Abymes (Les)","PA97100045"
"Guadeloupe","Guadeloupe","Basse-Terre","PA97100020"
"Guadeloupe","Guadeloupe","Basse-Terre","PA00105887"
"Guadeloupe","Guadeloupe","Basse-Terre","PA00105888"
"Guadeloupe","Guadeloupe","Basse-Terre","PA00105889"
"Guadeloupe","Guadeloupe","Désirade (La)","PA97100028"
"Guadeloupe","Guadeloupe","Lamentin","PA97100059"
"Guadeloupe","Guadeloupe","Lamentin","PA97100057"
"Guadeloupe","Guadeloupe","Lamentin","PA97100039"
"Guadeloupe","Guadeloupe","Lamentin","PA97100055"
"Guadeloupe","Guadeloupe","Lamentin","PA97100053"
"Guadeloupe","Guadeloupe","Lamentin","PA97100054"
"Guadeloupe","Guadeloupe","Lamentin","PA97100060"
"Guadeloupe","Guadeloupe","Morne-à-l'Eau","PA00105891"
"Guadeloupe","Guadeloupe","Pointe-à-Pitre","PA97100047"
"Guadeloupe","Guadeloupe","Pointe-à-Pitre","PA97100038"
"Guadeloupe","Guadeloupe","Pointe-à-Pitre","PA97100021"
"Guadeloupe","Guadeloupe","Pointe-Noire","PA00105892"
"Guyane","Guyane","Cayenne","PA00105930"
"Guyane","Guyane","Cayenne","PA00105932"
"Normandie","Seine-maritime","Arques-la-Bataille","PA76000045"
"Normandie","Seine-maritime","Dieppe","PA76000057"
"Normandie","Seine-maritime","Dieppe","PA76000093"
"Normandie","Seine-maritime","Fontaine-la-Mallet","PA76000011"
"Normandie","Seine-maritime","Fontaine-la-Mallet","PA76000012"
"Normandie","Seine-maritime","Fontaine-la-Mallet","PA76000054"
"Normandie","Seine-maritime","Foucarmont","PA76000067"
"Normandie","Seine-maritime","Gonfreville-l'Orcher","PA76000014"
"Normandie","Seine-maritime","Grand-Quevilly (Le)","PA76000015"
"Normandie","Seine-maritime","Havre (Le)","PA00100697"
"Normandie","Seine-maritime","Havre (Le)","PA76000075"
"Normandie","Seine-maritime","Mont-Cauvaire","PA00100757"
"Normandie","Seine-maritime","Octeville-sur-Mer","PA00132699"
"Normandie","Seine-maritime","Octeville-sur-Mer","PA76000017"
"Normandie","Seine-maritime","Octeville-sur-Mer","PA76000018"
"Normandie","Seine-maritime","Rouen","PA76000038"
"Normandie","Seine-maritime","Rouen","PA00100822"
"Normandie","Seine-maritime","Rouen","PA76000060"
"Normandie","Seine-maritime","Rouen","PA00100832"
"Normandie","Seine-maritime","Rouen","PA76000043"
"Normandie","Eure","Saint-Pierre-du-Vauvray","PA00099572"
"Normandie","Seine-maritime","Sainte-Adresse","PA76000090"
"Normandie","Seine-maritime","Sotteville-lès-Rouen","PA76000068"
"Normandie","Seine-maritime","Yvetot","PA76000053"
"Ile-de-France","Val-d'oise","Aincourt","PA95000005"
"Ile-de-France","Val-de-marne","Arcueil","PA00125470"
"Ile-de-France","Yvelines","Aubergenville","PA00087361"
"Ile-de-France","Val-d'oise","Beaumont-sur-Oise","PA00135717"
"Ile-de-France","Seine-saint-denis","Blanc-Mesnil (Le)","PA93000001"
"Ile-de-France","Seine-saint-denis","Bobigny","PA93000018"
"Ile-de-France","Seine-saint-denis","Bobigny","PA93000023"
"Ile-de-France","Seine-saint-denis","Bobigny","PA93000020"
"Ile-de-France","Seine-saint-denis","Bobigny","PA93000021"
"Ile-de-France","Hauts-de-seine","Bois-Colombes","PA92000004"
"Ile-de-France","Hauts-de-seine","Boulogne-Billancourt","PA00088069"
"Ile-de-France","Hauts-de-seine","Boulogne-Billancourt","PA00088070"
